scenario_key,module,title,scene,customer_psychology,common_mistakes,strategy,scripts,follow_up_questions,next_action,risk_note,applicable_roles,applicable_stages,source,tags
"price_objection","销售成交","客户嫌贵","客户了解项目后说太贵了并开始犹豫","客户说贵往往不是真嫌贵，而是没确认值不值、怕花了不划算","立刻降价、贬低同行或反复强调便宜","先共情接住情绪，再把价格从单次成本重构为单位价值与适配度，用低门槛体验降低决策风险，而不是降价","「理解您，护肤这件事确实要选适合自己的，不是越便宜越好。我帮您把这笔花费拆开看：它包含正规仪器、一对一方案和后续服务。咱们也不急着定大疗程，可以先从一次体验开始，您真实感受后再决定。」","您主要是担心预算，还是担心做了不适合自己？如果效果和服务都达到预期，价格区间大概在什么范围您会比较安心？","给一个低门槛体验台阶，并约定到店或回访时间","不得承诺疗效，不得虚构原价或夸大优惠力度","consultant,reception","new,intent","行为经济学锚定效应(Kahneman & Tversky)+ Cialdini《影响力》价值对比原则；美业场景应用","价格异议,新客转化"
"need_to_think","销售成交","客户说考虑一下","客户对项目有兴趣但说回去考虑一下迟迟不定","考虑一下常是礼貌性拒绝，背后藏着没说出口的真实顾虑（钱、效果、时间、信任）","直接催单或反复追问定不定，让客户更想逃","用顾问式提问把模糊的考虑一下变成具体顾虑，先解决顾虑再谈成交","「当然要考虑，重要的决定本来就该想清楚。我多问一句，方便我帮您把信息备齐：您现在主要在权衡的是预算、效果，还是时间安排？哪一点理清了，您心里大概就有数了？」","如果这一点解决了，您是不是基本就可以定了？您理想的开始时间大概是什么时候？","锁定具体顾虑，针对性给方案，约定明确的下一步时间点","不得施压逼单，不得用虚假紧迫制造焦虑","consultant","intent","SPIN 顾问式销售异议挖掘法(Neil Rackham)；美业场景应用","异议处理,成交推进"
"fear_no_effect","销售成交","客户怕做了没效果","客户担心花了钱没效果、怕被坑","客户缺的是安全感和确定性，需要可验证的证据而不是更多保证","用根治、一定有效、明显改善等话术硬保证，反而更可疑","用降低感知风险的方式回应：可体验、可对比、可退出，配合真实客户的同类反馈建立社会认同","「我特别理解这个担心，谁都不想花了钱没数。所以我不会跟您打包票，护肤因人而异。咱们换个更稳的方式：先做一次体验，过程和肤感您自己感受，我也会帮您做好记录。您觉得合适再继续，不合适随时停，主动权在您手里。」","您之前有没有做过类似项目？当时最不满意的是哪一点？这次您最希望先改善哪个问题？","安排低门槛体验并做好前后记录，约定复盘时间","严禁承诺疗效或绝对化表达，涉及皮肤问题不做医疗判断","consultant,beautician","new,intent","Cialdini《影响力》社会认同原则 + 感知风险降低理论；美业场景应用","效果顾虑,信任建立"
"fear_hard_sell","销售成交","客户怕被推销办大卡","客户全程防备，担心一进门就被套路办大卡","客户在防御状态，越推越抗拒，他要的是掌控感和没压力","急于介绍套餐、追着推卡，坐实客户的防备","用战术同理心先说出客户的担心，主动把压力拿掉，把节奏交还给客户","「您放心，我今天不会劝您办卡。很多姐妹一进来就怕被推销，这种心情太正常了。咱们今天就是先了解和体验，您觉得好，以后愿意再说；觉得一般，就当来放松一次，完全没压力。」","在不考虑办卡的前提下，您今天最想解决的皮肤问题是什么？您更喜欢我直接给建议，还是您先自己看看？","先建立信任做好服务，不在首次强推大单，记录客户偏好","不得承诺、不得诱导冲动消费，尊重客户节奏","consultant,reception","new","Chris Voss《Never Split the Difference》战术同理心与标注法；美业场景应用","怕推销,信任建立"
"need_family_approval","销售成交","客户要回去和家人商量","客户说要和老公或家人商量后再决定","可能是真实决策链，也可能是拖延借口；硬逼会破坏信任","无视决策链直接逼客户当场拍板","识别真实决策人，把客户武装成能向家人说清楚的人，提供低门槛先行方案","「和家人商量是应该的，重要决定一起拿主意更稳。我帮您把要点理清楚，您回去也好说：项目是什么、为什么适合您、大概投入多少。如果想先有个真实体验再商量，咱们可以先体验一次，您带着真实感受回去聊，比空说更有底气。」","主要是您自己拿主意，还是需要家人一起定？家人最可能关心的是预算还是效果？","提供可对外说明的方案要点 + 低门槛体验，约定回访时间","不得替客户向家人做疗效承诺，不得施压","consultant","intent","顾问式销售决策单元理论 + SPIN 提问法；美业场景应用","决策链,成交推进"
"trial_to_package","老客复购","体验后转疗程","客户做完体验满意但还没办卡或定疗程","客户已有初步信任，但怕一次投入太大、怕被继续推销","体验一结束就强推大卡，制造焦虑","利用承诺与一致原则顺势推进，先复盘体验中客户认可的点，再给可分阶段的轻量下一步，并强化结束时的好体验","「今天这次主要是让您先感受服务和肤感。您刚才也说体验下来挺舒服的。下一步如果您愿意，我们可以按您的节奏先做一个短周期的巩固方案，不用一次定很大，您觉得合适再逐步来。」","今天体验里您最满意的是哪一点？如果继续，您更倾向短周期先试还是一次安排到位？","记录满意点，给分阶段方案，24 小时内专业回访","不得夸大效果，不得用一次见效等表达","consultant,beautician","intent,deal","Cialdini《影响力》承诺与一致原则 + Kahneman 峰终定律；美业场景应用","体验转化,疗程成交"
"dormant_reactivation","老客复购","沉默老客唤醒","老客很久没到店、长期不回应","老客沉默常因被忽视、缺少理由回来，硬推销售会更反感","群发促销硬广，或一上来就推新卡","用互惠原则先给价值与关心而非索取，结合该客户过往偏好做个性化召回，给一个轻松的回店理由","「姐好久没见啦，最近换季皮肤状态还稳定吗？上次您做的补水项目，按周期差不多到该养护的时间了。我这边帮您留了个老客户回访的名额，您有空过来我帮您看看肤况，聊聊就行，不用消费。」","您最近皮肤有没有什么新的小困扰？哪个时间段过来比较方便？","按过往偏好个性化触达，给无压力回店理由，记录反馈","不得虚构专属优惠，不得过度打扰，尊重客户意愿","consultant","regular,churn_risk","Cialdini《影响力》互惠原则 + RFM 客户分层模型；美业场景应用","老客唤醒,复购"
"vip_retention","老客复购","高价值客户维护","识别出高消费或高频到店的高价值客户需要主动维护","高价值客户最怕被当成提款机，重视被重视和专属感","只在要续卡时才联系，平时不维护","用 CLV/RFM 思路把资源向高价值客户倾斜，建立非销售性质的日常关怀和专属体验，让续费成为自然结果","「王姐，您一直很照顾我们家，这季度给您留了个老客专属的护理调整建议，是根据您这段时间的肤况来的。下次过来我帮您细说，不一定要加项目，先把您现有的方案用到最好。」","您最近对效果和服务还满意吗？有没有希望我们调整或增加的地方？","建立定期关怀节奏，提供专属体验，提前规划续费时点","不得过度承诺，不得用专属名义诱导超额消费","consultant","regular,deal","顾客终身价值(CLV)+ RFM 客户分层模型；美业场景应用","高客维护,续费"
"post_service_followup","服务体验","服务后回访关怀","客户做完服务后的 1 至 3 天回访","客户做完最在意效果稳不稳、有没有人管，回访影响复购和口碑","做完就不管，或回访只为推销下一单","用峰终定律强化服务后的良好记忆，先关怀肤感与注意事项，再自然带出后续养护，不急于推销","「姐，您前两天做的项目，这两天肤感怎么样？有没有哪里不太舒服？记得这几天注意补水和防晒。您按这个节奏养护，状态会更稳。有任何情况随时找我。」","这两天皮肤有没有出现紧绷、泛红或其他不舒服？日常护肤上想不想要我给点建议？","记录术后反馈，给养护建议，规划下次到店周期","涉及皮肤异常、泛红、不适只做辅助提醒并建议升级，不做医疗诊断","consultant,beautician","deal,regular","Kahneman 峰终定律 + 服务利润链理论；美业场景应用","服务回访,复购"
"complaint_recovery","服务体验","客户不满或投诉补救","客户对服务或效果不满甚至投诉","处理得当的投诉客户忠诚度可能高于没出问题的客户，关键在被认真对待","辩解、推责、冷处理，或急于用补偿堵嘴","用服务补救悖论思路：先用战术同理心承接情绪，再了解事实，给真诚解决方案，把危机转化为信任","「真的很抱歉给您带来不好的体验，换我也会不舒服。您先别急，把情况跟我说清楚，我一定认真帮您处理，给您一个满意的交代。」","能跟我具体说说当时的情况吗？您希望我们怎么处理，您会比较满意？","记录投诉，按权限给解决方案，必要时升级店长，闭环回访","涉及皮肤损伤、健康问题立即升级专业负责人，不隔空判断、不私自承诺赔偿","consultant,reception,beautician","deal,regular,churn_risk","服务补救悖论(Service Recovery Paradox)+ 战术同理心；美业场景应用","客诉补救,体验挽回"
"compare_competitor","销售成交","客户拿别家对比","客户说别家更便宜或别家也有类似项目","客户在找区别和理由，对比本质是想确认选你不会错","贬低同行或一味强调自己便宜，显得不专业","用差异化价值而非价格回应，聚焦本店在方案适配、服务、安全规范上的真实差异，不评价同行","「能理解您多对比，这是对自己负责。我不评价别家，每家各有特点。我能跟您讲清楚的是我们这边怎么做：先看您的肤况定方案，过程怎么把控，做完怎么跟进。您拿这些去对比，会更容易判断哪家更适合您。」","除了价格，您在选择时还看重哪些？比如方案是否量身定制、做完有没有人跟进？","讲清差异化价值，提供适配方案，邀请体验对比","不得贬低同行，不得虚假比较或夸大自身","consultant,reception","new,intent","差异化定位(Porter)+ 顾问式价值销售；美业场景应用","竞品对比,价值塑造"
"campaign_invite","活动转化","活动邀约到店","有合适的当月活动可邀约客户参与","客户对活动既想要优惠又怕被套路，需要适配感和恰当的紧迫感","群发硬广轰炸，或夸大活动力度","用稀缺与紧迫原则，但建立在真实适配的基础上：先说明为什么这个活动适合这位客户，再给真实的时间或名额边界","「姐，这次活动我第一时间想到您，因为它正好对应您一直关注的补水养护。活动到本月底，名额有限。您要是有兴趣，我帮您先留一个，具体到店再定，不勉强。」","这个时间段您方便到店吗？您是想自己来还是叫上朋友一起？","按适配人群精准邀约，留名额并约定到店时间","不得虚构名额或截止时间，不得夸大活动优惠","consultant,reception","intent,regular,churn_risk","Cialdini《影响力》稀缺原则 + 紧迫性营销；美业场景应用","活动邀约,到店转化"
